Data,Ora,Data Valore,Prodotto,ISIN,Descrizione,Borsa,Variazioni,,Saldo,,ID Ordine
17-01-2024,07:29,16-01-2024,OSISKO GOLD ROYALTIES,CA68827L1013,Ritenuta sul dividendo,,CAD,-0.09,CAD,-0.09,
16-01-2024,20:15,16-01-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,83 EUR",,,,EUR,902.15,
16-01-2024,20:15,16-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.83,EUR,901.32,
16-01-2024,07:04,15-01-2024,,,Credito FX,,EUR,0.83,EUR,902.15,
16-01-2024,07:04,15-01-2024,,,Prelievo FX,1.0978,USD,-0.91,USD,0.00,
15-01-2024,07:55,12-01-2024,REALTY INCOME CORPORAT,US7561091049,Ritenuta sul dividendo,,USD,-0.12,USD,0.91,
15-01-2024,07:55,12-01-2024,REALTY INCOME CORPORAT,US7561091049,Dividendo,,USD,0.77,USD,1.03,
15-01-2024,07:29,12-01-2024,FRANKLIN RESOURCES IN,US3546131018,Dividendo,,USD,0.31,USD,0.26,
15-01-2024,07:29,12-01-2024,FRANKLIN RESOURCES IN,US3546131018,Ritenuta sul dividendo,,USD,-0.05,USD,-0.05,
03-01-2024,19:49,03-01-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 4,37 EUR",,,,EUR,901.32,
03-01-2024,19:49,03-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-4.37,EUR,896.95,
03-01-2024,08:00,02-01-2024,,,Credito FX,,EUR,4.37,EUR,901.32,
03-01-2024,08:00,02-01-2024,,,Prelievo FX,1.0969,USD,-4.79,USD,0.00,
02-01-2024,14:47,01-01-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,46 EUR",,,,EUR,896.95,
02-01-2024,14:47,01-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.46,EUR,896.49,
02-01-2024,08:05,29-12-2023,ADR ON TURKCELL ILETISIM HIZMETLERI,US9001112047,ADR/GDR Commissione Pass-Through,,USD,-0.20,USD,4.79,
02-01-2024,08:05,29-12-2023,ADR ON TURKCELL ILETISIM HIZMETLERI,US9001112047,Dividendo,,USD,1.75,USD,4.99,
02-01-2024,08:05,29-12-2023,ADR ON TURKCELL ILETISIM HIZMETLERI,US9001112047,Ritenuta sul dividendo,,USD,-0.18,USD,3.24,
02-01-2024,07:58,29-12-2023,FNF GROUP OF FIDELITY,US31620R3030,Dividendo,,USD,3.84,USD,3.42,
02-01-2024,07:58,29-12-2023,FNF GROUP OF FIDELITY,US31620R3030,Ritenuta sul dividendo,,USD,-0.58,USD,-0.42,
02-01-2024,07:48,29-12-2023,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.19,USD,0.16,
02-01-2024,07:48,29-12-2023,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,-0.03,
02-01-2024,04:50,02-01-2024,,,Flatex Interest Income,,EUR,0.00,EUR,896.95,
31-12-2023,07:32,29-12-2023,,,Credito FX,,EUR,0.46,EUR,896.95,
31-12-2023,07:32,29-12-2023,,,Prelievo FX,1.1066,USD,-0.51,USD,0.00,
31-12-2023,00:22,29-12-2023,OUTFRONT MEDIA INC. CO,US69007J1060,Dividendo,,USD,0.60,USD,0.51,
31-12-2023,00:22,29-12-2023,OUTFRONT MEDIA INC. CO,US69007J1060,Ritenuta sul dividendo,,USD,-0.09,USD,-0.09,
21-12-2023,17:17,21-12-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 1,28 EUR",,,,EUR,896.49,
21-12-2023,17:17,21-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.28,EUR,895.21,
21-12-2023,07:44,20-12-2023,,,Credito FX,,EUR,1.28,EUR,896.49,
21-12-2023,07:44,20-12-2023,,,Prelievo FX,1.0968,USD,-1.40,USD,0.00,
20-12-2023,17:32,20-12-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,37 EUR",,,,EUR,895.21,
20-12-2023,17:32,20-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.37,EUR,894.84,
20-12-2023,10:16,28-10-2022,RITHM CAPITAL CORP,US64828T2015,Capital Return,,USD,2.34,USD,1.40,
20-12-2023,10:15,28-10-2022,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,-0.25,USD,-0.94,
20-12-2023,10:15,28-10-2022,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,1.66,USD,-0.69,
20-12-2023,10:15,28-10-2022,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,-4.00,USD,-2.35,
20-12-2023,10:15,28-10-2022,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,0.60,USD,1.65,
20-12-2023,10:14,29-07-2022,RITHM CAPITAL CORP,US64828T2015,Capital Return,,USD,2.34,USD,1.05,
20-12-2023,10:14,29-07-2022,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,1.66,USD,-1.29,
20-12-2023,10:14,29-07-2022,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,-0.25,USD,-2.95,
20-12-2023,10:14,29-07-2022,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,-4.00,USD,-2.70,
20-12-2023,10:14,29-07-2022,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,0.60,USD,1.30,
20-12-2023,10:13,29-04-2022,RITHM CAPITAL CORP,US64828T2015,Capital Return,,USD,2.34,USD,0.70,
20-12-2023,10:13,29-04-2022,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,-0.25,USD,-1.64,
20-12-2023,10:13,29-04-2022,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,1.66,USD,-1.39,
20-12-2023,10:13,29-04-2022,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,0.60,USD,-3.05,
20-12-2023,10:13,29-04-2022,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,-4.00,USD,-3.65,
20-12-2023,10:12,28-01-2022,RITHM CAPITAL CORP,US64828T2015,Capital Return,,USD,2.34,USD,0.35,
20-12-2023,10:12,28-01-2022,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,1.66,USD,-1.99,
20-12-2023,10:12,28-01-2022,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,-0.25,USD,-3.65,
20-12-2023,10:12,28-01-2022,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,0.60,USD,-3.40,
20-12-2023,10:12,28-01-2022,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,-4.00,USD,-4.00,
20-12-2023,07:01,19-12-2023,,,Credito FX,,EUR,0.37,EUR,895.21,
